stim,phone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fleece.started,fleece.stopped,fleece.numClicks,fleece.timesOn,fleece.timesOff,foot.started,foot.stopped,foot.numClicks,foot.timesOn,foot.timesOff,strut.started,strut.stopped,strut.numClicks,strut.timesOn,strut.timesOff,stimulus.started,stimulus.stopped,puso.started,puso.stopped,puso.numClicks,puso.timesOn,puso.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/o.wav,o,0,0,0,0,7.075186500034761,None,0,,,7.075186500034761,None,1,[6.767167334037367],[6.7671699590282515],7.075186500034761,None,0,,,7.07269310769625,None,7.075186500034761,None,0,,,7.075186500034761,None,0,,,,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/u.wav,u,0,1,1,1,14.322798790992238,None,0,,,14.322798790992238,None,1,[6.767167334037367],[6.7671699590282515],14.322798790992238,None,0,,,14.323487191740423,None,14.322798790992238,None,1,[2.133838540990837],[2.1338407910079695],14.322798790992238,None,0,,,,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/o.wav,o,1,0,2,0,16.939536416030023,None,0,,,16.939536416030023,None,1,[6.767167334037367],[6.7671699590282515],16.939536416030023,None,0,,,16.939364274719264,None,16.939536416030023,None,1,[2.133838540990837],[2.1338407910079695],16.939536416030023,None,1,[2.066828084003646],[2.066830709052738],,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/u.wav,u,1,1,3,1,19.48959112499142,None,0,,,19.48959112499142,None,1,[6.767167334037367],[6.7671699590282515],19.48959112499142,None,0,,,19.48991148271598,None,19.48959112499142,None,2,"[2.133838540990837, 1.3011747500277124]","[2.1338407910079695, 1.3011769580189139]",19.48959112499142,None,1,[2.066828084003646],[2.066830709052738],,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/u.wav,u,2,0,4,1,21.27286137500778,None,0,,,21.27286137500778,None,1,[6.767167334037367],[6.7671699590282515],21.27286137500778,None,1,[1.5670459169778042],[1.5670484169968404],21.27300952472724,None,21.27286137500778,None,2,"[2.133838540990837, 1.3011747500277124]","[2.1338407910079695, 1.3011769580189139]",21.27286137500778,None,1,[2.066828084003646],[2.066830709052738],,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/o.wav,o,2,1,5,0,23.322703000041656,None,0,,,23.322703000041656,None,1,[6.767167334037367],[6.7671699590282515],23.322703000041656,None,1,[1.5670459169778042],[1.5670484169968404],23.323192649742122,None,23.322703000041656,None,2,"[2.133838540990837, 1.3011747500277124]","[2.1338407910079695, 1.3011769580189139]",23.322703000041656,None,2,"[2.066828084003646, 1.0506687079905532]","[2.066830709052738, 1.0506709160399623]",,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/u.wav,u,3,0,6,1,24.855889666010626,None,0,,,24.855889666010626,None,1,[6.767167334037367],[6.7671699590282515],24.855889666010626,None,1,[1.5670459169778042],[1.5670484169968404],24.85646194171859,None,24.855889666010626,None,3,"[2.133838540990837, 1.3011747500277124, 2.0179643749725074]","[2.1338407910079695, 1.3011769580189139, 2.0179670839570463]",24.855889666010626,None,2,"[2.066828084003646, 1.0506687079905532]","[2.066830709052738, 1.0506709160399623]",,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/o.wav,o,3,1,7,0,27.356362708029337,None,0,,,27.356362708029337,None,1,[6.767167334037367],[6.7671699590282515],27.356362708029337,None,1,[1.5670459169778042],[1.5670484169968404],27.356581024697515,None,27.356362708029337,None,3,"[2.133838540990837, 1.3011747500277124, 2.0179643749725074]","[2.1338407910079695, 1.3011769580189139, 2.0179670839570463]",27.356362708029337,None,3,"[2.066828084003646, 1.0506687079905532, 1.2008035409962758]","[2.066830709052738, 1.0506709160399623, 1.200805832981132]",,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/o.wav,o,4,0,8,0,29.039580625016242,None,0,,,29.039580625016242,None,1,[6.767167334037367],[6.7671699590282515],29.039580625016242,None,1,[1.5670459169778042],[1.5670484169968404],29.040888816746882,None,29.039580625016242,None,3,"[2.133838540990837, 1.3011747500277124, 2.0179643749725074]","[2.1338407910079695, 1.3011769580189139, 2.0179670839570463]",29.039580625016242,None,4,"[2.066828084003646, 1.0506687079905532, 1.2008035409962758, 0.7163280420354567]","[2.066830709052738, 1.0506709160399623, 1.200805832981132, 0.7163305840222165]",,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
stim/u.wav,u,4,1,9,1,30.2396936659934,None,0,,,30.2396936659934,None,1,[6.767167334037367],[6.7671699590282515],30.2396936659934,None,1,[1.5670459169778042],[1.5670484169968404],30.2404203167418,None,30.2396936659934,None,4,"[2.133838540990837, 1.3011747500277124, 2.0179643749725074, 0.9332067090435885]","[2.1338407910079695, 1.3011769580189139, 2.0179670839570463, 0.9332092090044171]",30.2396936659934,None,4,"[2.066828084003646, 1.0506687079905532, 1.2008035409962758, 0.7163280420354567]","[2.066830709052738, 1.0506709160399623, 1.200805832981132, 0.7163305840222165]",,,,,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9655669159837998,31.17290875001345,None,,,,001,2021_Sep_28_1654,untitled,2021.2.3,59.99541060250085,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.17290875001345,None,,,,,,,
