session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
622e11790ae264b75d99edd3,6124d122d91be3f612508804,APPROVED,2022-03-13 15:53:20.308000,2022-03-13 16:23:39.235000,1818.927,41,194,0,100,2022-03-13 16:39:07.537000,179EC35F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
622e11bee317b314156358e6,5f9057735c69b00e72665f84,APPROVED,2022-03-13 15:47:18.456000,2022-03-13 16:06:45.945000,1167.489,38,1593,3,100,2022-03-13 16:39:07.601000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e12ca9576aae24fb626f3,5bcc60b95c2b810001dc68e2,APPROVED,2022-03-13 15:50:40.473000,2022-03-13 15:57:38.741000,418.268,26,1465,18,97,2022-03-13 16:39:07.659000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e1429263d4e97c190300b,59349d79f1b3f00001964d04,APPROVED,2022-03-13 15:57:31.788000,2022-03-13 16:13:34.938000,963.15,63,1833,1,100,2022-03-13 16:39:07.719000,179EC35F,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
622e1846ab2bf5a8dde78bd5,5c2fae74d76cde0001c11590,APPROVED,2022-03-13 16:14:03.647000,2022-03-13 16:19:40.982000,337.335,49,143,0,100,2022-03-13 16:39:07.784000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e1850ceeb36519ec3913f,6125b040ffa3c0b9e67b92c9,APPROVED,2022-03-13 16:14:11.312000,2022-03-13 16:21:40.869000,449.557,25,485,0,100,2022-03-13 16:39:07.846000,175EC35F,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Prefer not to say,Yes
622e1f55684613c445f3e4c3,5898b6e256357700011c2c6b,APPROVED,2022-03-13 16:44:08.298000,2022-03-13 16:50:43.318000,395.02,64,2425,45,95,2022-03-13 23:47:40.576000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e23662b731eea92f6e266,5dc483cf74939e34e55c3619,APPROVED,2022-03-13 17:01:32.065000,2022-03-13 17:12:06.024000,633.959,71,2287,6,100,2022-03-13 23:47:40.638000,179EC35F,United States,United States,Part-Time,English,United States,Male,No
622e2725a3f19aead2677654,60e1d5f866e681d7e33fd01c,APPROVED,2022-03-13 17:17:28.476000,2022-03-13 17:40:32.166000,1383.69,38,547,6,99,2022-03-13 23:47:40.706000,179EC35F,United States,United States,Part-Time,English,United States,Female,Yes
622e283abdf78baeabc402eb,5ffe6b8b773ec452c1d28adc,APPROVED,2022-03-13 17:22:36.453000,2022-03-13 17:36:28.885000,832.432,37,509,1,100,2022-03-13 23:47:40.768000,5ffe6b8b773ec452c1d28adc,United States,United States,Unemployed (and job seeking),English,United States,Male,No
622e2d29d3b4dfcba37f9ad2,5e27868c5cbbcc0b3599574b,APPROVED,2022-03-13 17:49:03.127000,2022-03-13 18:01:25.823000,742.696,30,1927,11,99,2022-03-13 23:47:40.835000,179EC35F,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
622e3094520530421652cf9c,5ef9df1812148a78af8e76dc,APPROVED,2022-03-13 17:57:44.984000,2022-03-13 18:06:17.673000,512.689,35,1768,0,100,2022-03-13 23:47:40.924000,179EC35F,United States,United States,Full-Time,English,United States,Male,Yes
622e362cbd78e20389be5884,5fb0a3d6a8e4224b973e750b,APPROVED,2022-03-13 18:22:15.952000,2022-03-13 18:45:50.761000,1414.809,23,653,8,97,2022-03-13 23:47:41.061000,179EC35F,United States,United States,Part-Time,English,United States,Male,No
622e3b8d6cf0629b26d3c26e,5ff5f7ad932d56101bf7c90d,APPROVED,2022-03-13 18:44:32.843000,2022-03-13 18:52:14.667000,461.824,46,1004,2,100,2022-03-13 23:47:41.144000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e3d39276943080088ee50,60121fca666552254559110d,APPROVED,2022-03-13 18:51:39.870000,2022-03-13 19:12:09.378000,1229.508,21,1205,1,100,2022-03-13 23:47:41.212000,179EC35F,United States,United States,Part-Time,English,United States,Female,Yes
622e40388e8407bca4d5d6d3,60c24c8ec01a8596ba5c8b85,APPROVED,2022-03-13 19:04:29.122000,2022-03-13 19:14:45.494000,616.372,31,318,3,99,2022-03-13 23:47:41.300000,179EC35F,United States,United States,Unemployed (and job seeking),English,United States,Female,No
622e4af7aaa22a836420e88c,60bc18bb8b971280ef13060c,APPROVED,2022-03-13 19:50:15.426000,2022-03-13 20:08:11.111000,1075.685,44,564,5,98,2022-03-13 23:47:41.390000,179EC35F,United States,United States,Part-Time,English,United States,Female,No
622e4f66aa6595633fc2a2d2,60f83b167c76803d88b92d53,APPROVED,2022-03-13 20:09:16.983000,2022-03-13 20:20:05.494000,648.511,50,913,4,99,2022-03-13 23:47:41.474000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622e59acc78ee89723c66a0a,5bebd4111296920001d55c5a,APPROVED,2022-03-13 20:53:04.752000,2022-03-13 21:03:25.180000,620.428,37,2428,1,100,2022-03-13 23:47:41.546000,179EC35F,United States,United States,Full-Time,English,United States,Female,No
622e5d8296f85fd7469ef815,60fe4c46e72a8b28dc55d376,APPROVED,2022-03-13 21:09:26.758000,2022-03-13 21:19:09.962000,583.204,38,218,0,100,2022-03-13 23:47:41.633000,179EC35F,United States,United States,Full-Time,English,United States,Female,No
622e600dc5cd29c70acf8e12,5ddc07391e42a9000b2622be,APPROVED,2022-03-13 21:20:18.294000,2022-03-13 21:39:44.319000,1166.025,56,622,4,99,2022-03-13 23:47:41.712000,179EC35F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
622e84f66a0119ff37a4d36b,565a4547c51d43000587507d,APPROVED,2022-03-13 23:57:42.055000,2022-03-14 00:13:11.257000,929.202,40,2657,3,100,2022-03-14 16:35:14.622000,179EC35F,United States,United States,Part-Time,English,United States,Female,Yes
622ea3236de2bcd480dd4e33,61094c7cb8c79b6a734c2d0c,APPROVED,2022-03-14 02:06:38.835000,2022-03-14 02:17:51.138000,672.303,41,827,1,100,2022-03-14 16:35:13.834000,179EC35F,United States,United States,Full-Time,English,United States,Male,No
622ea4c56bfccf91178bab27,5a5479b4ac56240001537ffa,APPROVED,2022-03-14 02:13:25.850000,2022-03-14 02:45:33.105000,1927.255,32,1239,12,98,2022-03-14 16:35:13.230000,179EC35F,United States,United States,Full-Time,English,United States,Female,DATA EXPIRED
